_id_,_id2_,comp_mixto1
60846,1399458,0.35972000000000004
12730,292790,0.38
96930,2229390,0.24453999999999998
18638,428674,0.3354
232,5336,0.34753999999999996
75568,1738064,0.26206
55526,1277098,0.32742
26196,602508,0.33636
89978,2069494,0.36
37906,871838,0.33324000000000004
94671,2177433,0.32365999999999995
91792,2111216,0.3
53021,1219483,0.368
64105,1474415,0.37
74870,1722010,0.36544
38319,881337,0.37
33305,766015,0.36
50907,1170861,0.30222000000000004
26364,606372,0.38
16650,382950,0.32818
16394,377062,0.36
3587,82501,0.36704
98032,2254736,0.2873
76284,1754532,0.38
58772,1351756,0.2839
98865,2273895,0.24328
90344,2077912,0.36524
12383,284809,0.37518
69526,1599098,0.3674
27603,634869,0.38
82238,1891474,0.325
7468,171764,0.31139999999999995
75076,1726748,0.33846000000000004
88839,2043297,0.25882
19377,445671,0.36963999999999997
13740,316020,0.37704
74067,1703541,0.28096000000000004
18905,434815,0.34653999999999996
7755,178365,0.36363999999999996
89069,2048587,0.30957999999999997
32985,758655,0.3009
76912,1768976,0.3685
43860,1008780,0.37
84535,1944305,0.32903999999999994
59794,1375262,0.33
38329,881567,0.34
32530,748190,0.3252
36624,842352,0.28186
5417,124591,0.2865
52591,1209593,0.34
28906,664838,0.316
90334,2077682,0.28386
8122,186806,0.34
87787,2019101,0.24956
39937,918551,0.30656
318,7314,0.35781999999999997
40246,925658,0.30506
2202,50646,0.31338
52390,1204970,0.368
56061,1289403,0.35531999999999997
57864,1330872,0.30928
56809,1306607,0.3
73811,1697653,0.32706
84067,1933541,0.25112
92101,2118323,0.34062
41823,961929,0.37
80143,1843289,0.31764
51991,1195793,0.38
75359,1733257,0.24015999999999998
48452,1114396,0.31665999999999994
89426,2056798,0.336
67858,1560734,0.34678
87235,2006405,0.36138
46621,1072283,0.364
43649,1003927,0.3
10538,242374,0.35918
34173,785979,0.34
14834,341182,0.323
18924,435252,0.30151999999999995
60212,1384876,0.34464
37156,854588,0.36666
26362,606326,0.31764
73128,1681944,0.32
76095,1750185,0.38
98159,2257657,0.33636
61870,1423010,0.32202
85395,1964085,0.30098
27249,626727,0.28572000000000003
27628,635444,0.30728
56825,1306975,0.33115999999999995
97329,2238567,0.34853999999999996
3579,82317,0.36772000000000005
23405,538315,0.37992000000000004
13072,300656,0.34
5352,123096,0.38
92800,2134400,0.29262
11575,266225,0.28334000000000004
44121,1014783,0.2369
85354,1963142,0.38
2331,53613,0.37
52638,1210674,0.29574
25527,587121,0.35102
51492,1184316,0.39
54211,1246853,0.32903999999999994
32619,750237,0.3
11726,269698,0.38
47098,1083254,0.332
93981,2161563,0.34394
55707,1281261,0.38
60067,1381541,0.38
75166,1728818,0.33644
75918,1746114,0.38
48530,1116190,0.28334000000000004
2201,50623,0.34
14418,331614,0.35568
22816,524768,0.26896000000000003
67021,1541483,0.32368
68659,1579157,0.3394
20610,474030,0.34756
45171,1038933,0.3434
71940,1654620,0.38
9317,214291,0.36142
79967,1839241,0.29012
38848,893504,0.25714
97014,2231322,0.2342
74267,1708141,0.36924
37701,867123,0.34
7260,166980,0.33996000000000004
15542,357466,0.3282
50264,1156072,0.32898
71693,1648939,0.35714
73315,1686245,0.34915999999999997
34789,800147,0.3476
13135,302105,0.35475999999999996
69012,1587276,0.32124
22663,521249,0.2489
70517,1621891,0.36
16897,388631,0.32626
98650,2268950,0.37
70858,1629734,0.35994
68239,1569497,0.29724
92510,2127730,0.368
61373,1411579,0.32
34718,798514,0.38636000000000004
30035,690805,0.31456
7086,162978,0.31889999999999996
48658,1119134,0.33127999999999996
30757,707411,0.32364
41951,964873,0.37
61166,1406818,0.3044
